Artist,Title,Streams
Calvin Harris,Holiday,678050
Macklemore & Ryan Lewis,Can't Hold Us - feat. Ray Dalton,672741
Nat King Cole,O Tannenbaum,671170
ODESZA,Falls (feat. Sasha Sloan),666714
Drake,0 To 100 / The Catch Up,665904
Tom Petty,You Don't Know How It Feels,658237
Stevie Wonder,Superstition - Single Version,653078
Wale,"My Love (feat. Major Lazer, WizKid, Dua Lipa)",645565
Calvin Harris,Skrt On Me,644234
Bing Crosby,Let's Start The New Year Off Right,638373
Bryson Tiller,Rain On Me (Intro),637400
Audioslave,Like a Stone,630427
OutKast,Hey Ya! - Radio Mix / Club Mix,629734
BTS,MIC Drop,628638
Kehlani,Do U Dirty,623573
Fetty Wap,679 (feat. Remy Boyz),623512
Lil Peep,Beamer Boy,613271
The xx,Say Something Loving,610290
Tom Petty,You Wreck Me,609787
Kodak Black,Coolin and Booted,609592
Tom Petty,Wildflowers,607754
Michael Bublé,Cold December Night,602406
Daryl Hall & John Oates,Rich Girl,600955
Tom Petty and the Heartbreakers,Don't Do Me Like That,597084
Paramore,Forgiveness,594317
A Boogie Wit da Hoodie,No Comparison,592045
A$AP Mob,Please Shut Up,584499
Gorillaz,Strobelite (feat. Peven Everett),582549
Chris Brown,Privacy,580408
Shaggy,It Wasn't Me,578284
Future,Keep Quiet,573354
DNCE,Cake By The Ocean,572896
Van Morrison,Brown Eyed Girl,571500
Lil Pump,What U Sayin' (feat. Smokepurpp),567555
Fetty Wap,Trap Queen,567344
Big Sean,Even The Odds (& Metro Boomin),565602
John Mayer,You're Gonna Live Forever in Me,564266
Coldplay,Christmas Lights,564011
Gucci Mane,Mall,562617
Michael Bublé,All I Want For Christmas Is You,561927
Drake,"Two Birds, One Stone",560557
Big Sean,In Tune (& Metro Boomin),559954
G-Eazy,Love Is Gone,556210
Smokepurpp,OK (feat. Lil Pump),554489
Linkin Park,Good Goodbye (feat. Pusha T and Stormzy),551879
DRAM,Gilligan,551867
Rich Brian,Gospel,551774
Quality Control,Too Hotty,549078
Kesha,Let 'Em Talk,546259
HAIM,Want You Back,546241
Demi Lovato,I'll Be Home For Christmas - Recorded at Spotify Studios NYC,545886
Gucci Mane,Peepin out the Blinds,545388
Bruce Springsteen,Santa Claus Is Comin' to Town - Single Version,544224
Blue Öyster Cult,(Don't Fear) The Reaper,543066
Britney Spears,My Only Wish (This Year),541641
Sam Smith,"River - Recorded At RAK Studios, London",540859
Queen,Bohemian Rhapsody - Remastered 2011,540735
Bryson Tiller,Teach Me a Lesson,539402
Panic! At The Disco,I Write Sins Not Tragedies,532228
Halsey,Alone,528420
Chance The Rapper,Mixtape (feat. Young Thug & Lil Yachty),526977
A$AP Mob,Perry Aye,526768
The Ronettes,Sleigh Ride,526083
Linkin Park,Breaking The Habit,525871
Adele,Make You Feel My Love,518321
Gucci Mane,Rich Ass Junkie,515031
Bryson Tiller,Set It Off,512343
Bryson Tiller,Money Problems / Benz Truck,507414
Big Sean,Reason (& Metro Boomin),506580
Prince,Purple Rain,505635
Future,Massage In My Room,505312
Thomas Rhett,Grave,501788
Jax Jones,Instruction (feat. Demi Lovato & Stefflon Don),501559
Future,Flip,500784
Gorillaz,Charger (feat. Grace Jones),498332
Lil Pump,Youngest Flexer (feat. Gucci Mane),497504
Meghan Trainor,I'll Be Home,494785
Rick Ross,I Think She Like Me,493670
A$AP Mob,Walk On Water,492000
DJ Khaled,I Can't Even Lie,486907
DJ Khaled,Down for Life,478296
DJ Khaled,It's Secured,475642
Marc E. Bassy,Plot Twist,472256
Gene Autry,Rudolph the Red-Nosed Reindeer,472132
Joey Bada$$,FOR MY PEOPLE,471463
Future,Mink Flow,467193
Gorillaz,Busted and Blue,466996
John Mayer,Helpless,463574
A$AP Mob,Blowin' Minds (Skateboard),462418
A$AP Mob,Feels So Good,461393
Coldplay,Hypnotised,460682
Joey Bada$$,LAND OF THE FREE,460091
DJ Khaled,Major Bag Alert,459953
Linkin Park,Sorry for Now,458504
Paramore,Rose-Colored Boy,456917
Coldplay,All I Can Think About Is You,456614
Soundgarden,Fell On Black Days,455864
Joey Bada$$,"RING THE ALARM (feat. Nyck Caution, Kirk Knight & Meechy Darko)",451540
Fifth Harmony,Angel,448701
Bryson Tiller,Rain Interlude,448229
Lil Peep,U Said,447670
Bryson Tiller,Before You Judge,445084
Lynyrd Skynyrd,Sweet Home Alabama,442786
Future,Neva Missa Lost,438681
2Pac,Ambitionz Az A Ridah,438159
Niall Horan,On The Loose,432190
"Tyler, The Creator","Enjoy Right Now, Today",431846
2 Chainz,Saturday Night,431677
The Notorious B.I.G.,Juicy,431546
Lady Gaga,Poker Face,428054
A$AP Mob,Frat Rules,427135
Luke Bryan,Light It Up,426007
French Montana,Jump,423819
Bryson Tiller,Nevermind This Interlude,421880
M.I.A.,Paper Planes,420988
Audioslave,Show Me How to Live,420167
Chris Stapleton,Broken Halos,419998
John Legend,All of Me,418803
Lady Gaga,Bad Romance,416397
Kendrick Lamar,Money Trees,416120
Meek Mill,We Ball (feat. Young Thug),416075
J. Cole,She's Mine Pt. 2,414147
2 Chainz,Riverdale Rd,412484
Lana Del Rey,Coachella - Woodstock In My Mind,408262
Snoop Dogg,"Young, Wild & Free (feat. Bruno Mars) - feat. Bruno Mars",406865
Kehlani,Escape,405351
The Weeknd,Ordinary Life,405221
Gorillaz,We Got The Power (feat. Jehnny Beth),404473
Tom Petty and the Heartbreakers,Refugee,403155
NAV,Perfect Timing (Intro),403088
Rockwell,Somebody's Watching Me - Single Version,402811
Future,Turn On Me,402361
Young Thug,Family Don't Matter (feat. Millie Go Lightly),401774
The xx,I Dare You,398777
P!nk,Beautiful Trauma,397629
Lil Peep,The Brightside,397202
Calvin Harris,Hard to Love,397190
Lana Del Rey,Tomorrow Never Came (feat. Sean Ono Lennon),394633
NAV,Both Sides,394261
Tory Lanez,Skrt Skrt,392587
Lil Pump,Ok,391402
Lana Del Rey,God Bless America - And All The Beautiful Women In It,389864
The xx,Dangerous,389117
Queen,Don't Stop Me Now - Remastered,388609
Jay Critch,Fashion (feat. Rich The Kid),388154
blackbear,anxiety (with FRND),387946
Ugly God,No Lies (feat. Wiz Khalifa),385816
Bee Gees,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",384705
Daddy Yankee,Vuelve,381865
Aretha Franklin,Respect,380554
The Beatles,Twist And Shout - Remastered 2009,380372
Future,I Thank U,380025
Kendrick Lamar,A.D.H.D,379362
Lana Del Rey,Heroin,377931
Devin Dawson,All On Me,377850
Ugly God,Welcome To The Booty Tape,376664
2 Chainz,Poor Fool,375587
Taylor Swift,Love Story,369874
Imagine Dragons,Yesterday,369733
Rick Ross,Idols Become Rivals,369494
Future,New Illuminati,365011
AC/DC,You Shook Me All Night Long,364887
Taylor Swift,You Belong With Me,364581
Disney Characters,This Is Halloween,364572
Imagine Dragons,Mouth Of The River,362627
Passenger,Let Her Go,362173
Starley,Call on Me - Ryan Riback Remix,361891
Stevie Wonder,"Signed, Sealed, Delivered (I'm Yours)",361050
Kane Brown,Heaven,360835
Jeezy,"American Dream (feat. J.Cole, Kendrick Lamar)",353941
A$AP Ferg,Nasty (Who Dat),353540
Gucci Mane,Both Eyes Closed (feat. 2 Chainz and Young Dolph),351156
Oasis,Wonderwall - Remastered,350935
Halsey,Sorry,347827
AC/DC,Highway to Hell,343613
The Clash,Should I Stay or Should I Go - Remastered,342351
Ugly God,Fuck Ugly God,340719
Tom Petty and the Heartbreakers,Listen To Her Heart,339523
Tom Petty,Time To Move On,338190
Dierks Bentley,Black,334230
Rick Ross,Apple of My Eye,327349
Linkin Park,Leave Out All The Rest,321479
Kelly Clarkson,Love So Soft,317868
Linkin Park,BURN IT DOWN,314406
blackbear,playboy shit (feat. lil aaron),313085
Tove Lo,Disco Tits,308874
David Guetta,Light My Body Up (feat. Nicki Minaj & Lil Wayne),307977
Bonnie Tyler,Total Eclipse of The Heart,302026
Frank Sinatra,Jingle Bells - 1999 - Remaster,301901
Lin-Manuel Miranda,Almost Like Praying (feat. Artists for Puerto Rico),299656
N.E.R.D,Don't Don't Do It!,297446
Kehlani,Undercover,296503
Tom Petty and the Heartbreakers,The Waiting,292894
Lil Pump,Smoke My Dope (feat. Smokepurpp),292626
Tom Petty and the Heartbreakers,Here Comes My Girl,289798
Miley Cyrus,I Would Die For You,288185
P!nk,For Now,286154
Demi Lovato,Ruin The Friendship,285168
Vince Guaraldi Trio,Linus And Lucy,284504
Lil Yachty,Better,283418
Linkin Park,Nobody Can Save Me,282439
Stevie Wonder,What Christmas Means To Me,282408
Marshmello,You & Me,281661
Vance Joy,Lay It On Me,281366
DJ Jazzy Jeff & The Fresh Prince,A Nightmare On My Street,280831
G-Eazy,Nothing Wrong,280177
Bruce Springsteen,Born In The U.S.A.,277905
ODESZA,Line Of Sight (feat. WYNNE & Mansionair),277587
The Killers,The Man,277422
Ty Dolla $ign,Lil Favorite (feat. MadeinTYO),276024
Linkin Park,A Place For My Head,275008
Linkin Park,Talking to Myself,274262
BROCKHAMPTON,BOOGIE,273795
Katy Perry,Pendulum,273753
Fall Out Boy,HOLD ME TIGHT OR DON’T,273388
Louis Tomlinson,Miss You,272073
Big Sean,I Don't Fuck With You,271967
Michael Bublé,Santa Claus Is Coming To Town,271768
Joey Bada$$,GOOD MORNING AMERIKKKA,271088
Tom Petty and the Heartbreakers,I Need To Know,270533
Rae Sremmurd,Look Alive,270233
Linkin Park,Points Of Authority,269994
Julia Michaels,Worst In Me,269151
Kygo,Riding Shotgun,268278
HAIM,Little Of Your Love - BloodPop® Remix,266945
Lil Pump,Whitney (feat. Chief Keef),266430
Dean Martin,Let It Snow! Let It Snow! Let It Snow!,265820
Ty Dolla $ign,So Am I (feat. Damian Marley & Skrillex),265297
ILoveMakonnen,Love (feat. Rae Sremmurd),264594
blackbear,bright pink tims (feat. Cam'ron),263767
Phoenix,J-Boy,262198
Lil Uzi Vert,Seven Million (feat. Future),261722
Tom Petty and the Heartbreakers,Into The Great Wide Open,260643
Soundgarden,Spoonman,260492
Imagine Dragons,Thunder / Young Dumb & Broke (with Khalid) - Medley,260348
Charlie Puth,If You Leave Me Now (feat. Boyz II Men),259702
Linkin Park,Shadow Of The Day,258981
Wiz Khalifa,Royal Highness (feat. Casey Veggies),257967
Lil Yachty,Like A Star,256234
Linkin Park,Lying From You,255550
6LACK,That Far,253347
Kevin Gates,What If,252844
Camila Cabello,I Have Questions,252100
Linkin Park,Runaway,251499
Joey Bada$$,LEGENDARY (feat. J. Cole),251440
Tom Petty and the Heartbreakers,Anything That's Rock 'N' Roll,250854
Nick Jonas,Remember I Told You,250315
Mobb Deep,"Shook Ones, Pt. II",250045
Foo Fighters,Arrows,248172
Ed Sheeran,...Baby One More Time - Recorded at Spotify Studios NYC,247148
DJ Khaled,Nobody,246981
Michael Bublé,Christmas (Baby Please Come Home),246564
Darlene Love,Christmas (Baby Please Come Home),245925
Morgan Wallen,Up Down (Feat. Florida Georgia Line),245789
Ed Sheeran,Shape of You (Major Lazer Remix) [feat. Nyla & Kranium],245670
Warren Zevon,Werewolves Of London - 2007 Remastered Version,243110
Michael Bublé,Have Yourself A Merry Little Christmas,242425
Michael Jackson,Thriller - 2003 Edit,241871
Lil Pump,At the Door,240730
Big Sean,"No Hearts, No Love (& Metro Boomin)",240555
Maren Morris,Dear Hate,240548
Tom Petty and the Heartbreakers,Don't Come Around Here No More,238799
Chris Brown,This Christmas,238127
Demi Lovato,You Don't Do It For Me Anymore,237230
Brett Eldredge,"Baby, It's Cold Outside (feat. Meghan Trainor)",236709
Linkin Park,From The Inside,236390
PARTYNEXTDOOR,Damage,235425
Tom Petty and the Heartbreakers,Even The Losers,235171
Ellie Goulding,"Love Me Like You Do - From ""Fifty Shades Of Grey""",235052
Glee Cast,Jingle Bell Rock (Glee Cast Version),233765
Kygo,This Town,233547
Pharrell Williams,"Happy - From ""Despicable Me 2""",233169
Tom Petty,It's Good To Be King,232905
Gorillaz,Carnival (feat. Anthony Hamilton),232798
Zac Brown Band,Chicken Fried,232053
A$AP Mob,Bahamas,230697
Fifth Harmony,"Can You See - Spotify Singles - Holiday, Recorded at Spotify Studios NYC",229276
blackbear,santa monica & la brea,229182
Mariah Carey,Christmas (Baby Please Come Home),228854
Gucci Mane,Back On,228284
Pentatonix,"O Come, All Ye Faithful",228020
HAIM,Kept Me Crying,227668
R3HAB,You Could Be,227222
Future,Group Home,226940
Gorillaz,She's My Collar (feat. Kali Uchis),226914
alt-J,In Cold Blood,226783
David Guetta,Titanium (feat. Sia),226512
Tom Petty and the Heartbreakers,You Got Lucky,226008
Lady Gaga,Perfect Illusion,224680
blackbear,top priority (with Ne-Yo),224615
John Mayer,In the Blood,223832
George Ezra,"White Christmas - Spotify Singles - Holiday, Recorded at Air Studios, London",223595
Linkin Park,Invisible,222346
blackbear,up in this (with Tinashe),222339
Lost Kings,First Love,222281
Lil Pump,Foreign,222020
A$AP Mob,Get The Bag,221410
Pentatonix,Dance of the Sugar Plum Fairy,221326
Glee Cast,"Baby, It's Cold Outside (Glee Cast Version)",221193
blackbear,hell is where i dreamt of u and woke up alone,220804
Gorillaz,"The Apprentice (feat. Rag'n'Bone Man, Zebra Katz & RAY BLK)",220430
Joji,Will He,219860
Gucci Mane,Dickriders,219806
Meek Mill,"That's My N**** (with Meek Mill, YG & Snoop Dogg)",218726
Francis and the Lights,Just for Us,218632
Beck,Up All Night,218038
Soundgarden,The Day I Tried To Live,217947
WALK THE MOON,One Foot,217921
Lil Yachty,Dirty Mouth,217797
X Ambassadors,Ahead Of Myself,217662
OneRepublic,Lift Me Up - Michael Brun Remix,217220
Bon Iver,Skinny Love,217118
Majid Jordan,Gave Your Love Away,216310
Miley Cyrus,Week Without You,216198
Tory Lanez,I Sip,215233
NF,10 Feet Down,215199
XXXTENTACION,Looking for a Star,215162
Joey Bada$$,SUPER PREDATOR (feat. Styles P),215071
Soundgarden,Rusty Cage,214917
The Killers,Run For Cover,214874
"Bobby ""Boris"" Pickett",Monster Mash,214616
T-Pain,Textin' My Ex,214450
Chris Brown,Only 4 Me,213998
Kelly Clarkson,Christmas Eve - Recorded at Spotify Studios NYC,213432
Maroon 5,She Will Be Loved - Radio Mix,213410
Young Thug,Liger,213185
Rich Brian,Crisis (feat. 21 Savage),211810
DJ Khaled,Pull a Caper,211568
Chris Cornell,The Promise,211539
Galantis,True Feeling,211539
Daryl Hall & John Oates,Jingle Bell Rock from Daryl,211384
Linkin Park,Don't Stay,211244
A$AP Mob,Black Card,210981
Linkin Park,My December,210841
Fall Out Boy,Champion,210734
Joey Bada$$,Y U DON'T LOVE ME? (MISS AMERIKKKA),210448
Lil Peep,Better Off - Dying,210121
Lady Gaga,Telephone,209865
A-Trak,Believe,209745
Gorillaz,Sex Murder Party (feat. Jamie Principle & Zebra Katz),209597
Wiz Khalifa,Figure It Out,209491
Snakehips,Either Way,209400
Thomas Rhett,When You Look Like That,209331
Young Dolph,Drippy,209249
DJ Khaled,(Intro) I'm so Grateful,208805
Vince Guaraldi Trio,O Tannenbaum,208446
Thomas Rhett,Drink A Little Beer,208332
Nick Jonas,Find You,207636
Christina Aguilera,Have Yourself a Merry Little Christmas,207635
Bryson Tiller,Always (Outro),207539
Red Hot Chili Peppers,Under The Bridge,207181
Temple Of The Dog,Hunger Strike,207132
Machine Gun Kelly,Go For Broke (feat. James Arthur),206985
Galantis,Girls On Boys,206875
Lana Del Rey,When The World Was At War We Kept Dancing,206708
Mike WiLL Made-It,On The Come Up (feat. Big Sean),206386
Kesha,Bastards,206166
Katy Perry,Firework,206093
Niall Horan,Flicker,206042
Kelsea Ballerini,End of the World,205964
Lil Yachty,DN Freestyle,205351
Ed Sheeran,Shape of You - Galantis Remix,205048
Zara Larsson,So Good,204773
Migos,T-Shirt (Spotify Mix) - Recorded at Spotify Studios NYC,204434
Christina Perri,A Thousand Years,204036
Elton John,Step Into Christmas,203971
DJ Khaled,Good Man,203385
A$AP Mob,BYF,202681
T-Pain,Buy U a Drank (Shawty Snappin'),202387
DJDS,Why Don't You Come On,202109
Nicki Minaj,Starships,201813
Paramore,Fake Happy,201664
Old Dominion,Written in the Sand,201574
TLC,No Scrubs,201499
blackbear,gucci linen (feat. 2 Chainz),201479
A$AP Mob,FYBR (First Year Being Rich),201300
Vance Joy,Mess Is Mine,201065
Dead Or Alive,You Spin Me Round (Like a Record),200815
Kodak Black,Up In Here,200628
Soundgarden,Outshined,200592
The Notorious B.I.G.,Hypnotize - 2014 Remastered Version,200576
Young Thug,Tomorrow Til Infinity (feat. Gunna),199839
BØRNS,God Save Our Young Blood (with Lana Del Rey),199295
Meek Mill,Heavy Heart,198513
The All-American Rejects,Sweat,198402
A Boogie Wit da Hoodie,Unhappy,198392
Wiz Khalifa,Weed Farm,197458
Farruko,Krippy Kush - Remix,197352
Miley Cyrus,Rainbowland,196788
Kanye West,Stronger,196788
John Mayer,Your Body Is a Wonderland,196344
Carly Rae Jepsen,Cut To The Feeling,196181
Bebe Rexha,(Not) The One,195340
Trey Songz,Come Over,194983
fun.,We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,194870
Kygo,Never Let You Go,194867
Bebe Rexha,That's It (feat. Gucci Mane & 2 Chainz),194798
DNCE,Kissing Strangers,194710
Dexys Midnight Runners,Come On Eileen,194508
Miley Cyrus,Bad Mood,194345
Kiiara,Wishlist,194082
Thomas Rhett,Sweetheart,194062
Taylor Swift,Out Of The Woods,194036
Axwell /\ Ingrosso,I Love You,193995
Austyn Johnson,A Million Dreams (Reprise),193675
Francis and the Lights,May I Have This Dance (Remix) [feat. Chance the Rapper],193041
Audioslave,Cochise,192786
Stevie Nicks,Stop Draggin' My Heart Around (with Tom Petty & The Heartbreakers) - Remastered,192684
Bhad Bhabie,Hi Bich,192643
Lady Gaga,Just Dance,192517
Hazers,Changes,191964
Alesso,Is That For Me,191911
Blake Shelton,I'll Name the Dogs,191450
Toby Keith,"Courtesy Of The Red, White And Blue (The Angry American)",191443
Thomas Rhett,Smooth Like The Summer,190755
Kanye West,Gold Digger,190740
Vance Joy,Riptide,190530
Joey Bada$$,BABYLON (feat. Chronixx),190230
PnB Rock,Issues (feat. Russ),190114
DJ Khaled,Whatever,189978
Foster The People,Sit Next to Me,189887
DJ Khaled,That Range Rover Came With Steps,189584
Kyle Dixon & Michael Stein,Stranger Things,189260
Life of Dillon,Sex for Breakfast,189064
Taylor Swift,Welcome To New York,188645
The Goo Goo Dolls,Iris,188495
Maroon 5,Help Me Out,187563
Cashmere Cat,Love Incredible (feat. Camila Cabello),186836
Soleima,Low Life,186533
Yellow Claw,Good Day (feat. DJ Snake & Elliphant),186417
Kodak Black,U Aint Never,186253
The Notorious B.I.G.,Big Poppa,186236
Desiigner,Liife,185737
Timeflies,Raincoat (feat. Shy Martin),185336
John Mayer,Emoji of a Wave,185210
Tove Styrke,Mistakes,185163
Lorde,Royals,184882
Taylor Swift,I Knew You Were Trouble.,184779
Ben Howard,Only Love,184687
DRAM,Ill Nana (feat. Trippie Redd),184355
The Rolling Stones,Sympathy For The Devil,184311
Coldplay,A L I E N S,183856
Paul Simon,You Can Call Me Al,183669
Robin Schulz,OK,182963
2Pac,California Love - Original Version,182732
Echosmith,Goodbye,182666
John Mayer,Still Feel Like Your Man,182621
Weezer,Feels Like Summer,182332
Mike Posner,In The Arms Of A Stranger - Grey Remix,181734
Dropkick Murphys,I'm Shipping Up To Boston,180826
Lady Gaga,Born This Way,180380
A$AP Ferg,Trap And A Dream,180202
Brett Young,Like I Loved You,180090
Tiësto,On My Way,180036
Imagine Dragons,Dancing In The Dark,179504
A Boogie Wit da Hoodie,No Promises,179463
Mark Ronson,Uptown Funk,179402
Journey,Don't Stop Believin',178922
The xx,Lips,178891
Imagine Dragons,Radioactive,178307
R3HAB,Killing Time,178188
Stargate,Waterfall,178057
Redbone,Come and Get Your Love - Single Edit,177297
A R I Z O N A,Cross My Mind Pt. 2 (feat. Kiiara),176869
Jack Johnson,Better Together,176804
Hailee Steinfeld,Love Myself,176674
BTS,Outro: Her,176630
Michael Jackson,P.Y.T. (Pretty Young Thing),176354
The Beatles,Here Comes The Sun - Remastered,176207
The xx,A Violent Noise,175818
Kesha,Finding You,175397
Carly Rae Jepsen,Call Me Maybe,174945
The Weeknd,Can't Feel My Face,174924
Soundgarden,Burden In My Hand,174902
Halsey,Heaven In Hiding,174280
Britney Spears,Toxic,174242
Friyie,Money Team,173792
Sublime,Santeria,173077
Young Thug,Feel It,172893
Maggie Rogers,On + Off,171953
Lana Del Rey,Summertime Sadness [Lana Del Rey vs. Cedric Gervais] - Cedric Gervais Remix,171757
Skrillex,Purple Lamborghini (with Rick Ross),171058
Halsey,100 Letters,170832
ZHU,Dreams,170557
Fleetwood Mac,The Chain - Remastered,170393
The Temptations,My Girl,170168
Dimitri Vegas & Like Mike,Complicated (feat. Kiiara),169975
Creedence Clearwater Revival,Fortunate Son,169503
Calvin Harris,Feel So Close - Radio Edit,169357
Macklemore & Ryan Lewis,Thrift Shop (feat. Wanz),169182
Sigrid,Don't Kill My Vibe,168085
Fall Out Boy,"Sugar, We're Goin Down",167766
Jeremih,I Think Of You,167613
PARTYNEXTDOOR,Rendezvous,167328
Chuck Berry,Johnny B. Goode,166987
mansionz,Dennis Rodman,166943
Prince,Kiss,166716
MC Ty,Jingle Bell Rock,166659
Ugly God,I'm A Nasty Hoe,166508
Jason Derulo,Trumpets,166027
Brett Eldredge,No Stopping You,165390
Khalid,Coaster,165032
Kesha,Hunt You Down,164754
Ugly God,I'm Tryna Fuck,164601
Future,Wicked,164503
Andrew McMahon in the Wilderness,So Close,164012
O.T. Genasis,Cut It (feat. Young Dolph),163667
Sam Hunt,House Party,163471
Travis Scott,Yeah Yeah (feat. Young Thug),162786
Shallou,Begin (feat. Wales),162310
Lady Gaga,A-YO,161888
Emma Stone,"Audition (The Fools Who Dream) - From ""La La Land"" Soundtrack",160750
Kodak Black,Versatile,160068
Sia,Move Your Body - Single Mix,159306
J Balvin,Bonita,158543
Blake Shelton,A Guy With a Girl,158382
Ariana Grande,Dangerous Woman,157186
The Weeknd,Earned It (Fifty Shades Of Grey),155111
Guns N' Roses,Sweet Child O' Mine,154748
Otis Redding,Stand By Me,154347
Drake,Jungle,153929
Yo Gotti,They Like,153491
DeJ Loaf,No Fear,152420
Paul Simon,Me and Julio Down by the Schoolyard,151657
Bobby McFerrin,Don't Worry Be Happy,151217
Kehlani,Keep On,150441
August Alsina,Drugs,149475
The Jackson 5,ABC,148305
Kehlani,Gangsta,147537
Sam Cooke,(What A) Wonderful World - Remastered,145484
The Rolling Stones,(I Can't Get No) Satisfaction - Mono Version / Remastered 2002,144843
Phil Collins,You Can't Hurry Love - 2016 Remastered,143813
DJ Khaled,For Free,143765
Kanye West,Champions,141632
MØ,Final Song,139227
Ed Sheeran,Don't,134420
Ed Sheeran,Give Me Love,133040
